a2jmidid 8-1
libgksu 2.0.12-6
libglade 2.6.4-5
libgme 0.6.0-5
libgnome 2.32.1-6
libgnome-data 2.32.1-6
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomeui 2.24.5-2
libgpg-error 1.22-1
libgphoto2 2.5.10-1
libgsf 1.14.36-1
libgssglue 0.4-2
libgsystem 2015.2-1
libgtop 2.34.0-2
libgudev 230-1
libgusb 0.2.9-1
libgweather 3.20.1-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-4
libidn 1.32-1
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0-3
libinput 1.3.0-2
libirman 0.4.6-1
libixion 0.11.0-2
libjpeg-turbo 1.4.2-2
libkate 0.4.1-5
libksba 1.3.4-1
liblangtag 0.5.8-2
liblastfm 1.0.9-2
libldap 2.4.44-2
liblo 1:0.28-1
liblouis 2.6.5-2
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmariadbclient 10.1.14-1
libmatroska 1.4.4-1
libmicrohttpd 0.9.49-1
libmm-glib 1.4.14-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.3-2
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-5
libmwaw 0.3.6-2
libndp 1.6-1
libnetfilter_conntrack 1.0.5-1
libnewt 0.52.19-1
libnfnetlink 1.0.1-2
libnftnl 1.0.6-1
libnl 3.2.27-1
libnm-glib 1.2.2-1
libnotify 0.7.6-2
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.1-1
libpagemaker 0.0.3-1
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.22-1
libpng12 1.2.56-3
libproxy 0.4.12-2
libpulse 8.0-3
libquicktime 1.2.4-15
libqzeitgeist 0.8.0-6
libra-gtk-theme 2.3-1
